epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2802.89,1.85464,2.4145,1.0431,0.28558,0.16671,0.12209,0.06545,1.67789,1.60254,0.98629,0.000237412,0.000237412,0.000237412
2,5583.65,1.68991,1.54522,0.99449,0.22838,0.20331,0.1541,0.08469,1.65229,1.46104,0.9726,0.000381281,0.000381281,0.000381281
3,8365.5,1.63907,1.44198,0.98065,0.27651,0.22323,0.18887,0.10307,1.60301,1.37707,0.96829,0.000430901,0.000430901,0.000430901
4,11109.3,1.59766,1.36567,0.97048,0.28217,0.22857,0.20381,0.11485,1.54691,1.29987,0.95252,0.000289884,0.000289884,0.000289884
5,13780.3,1.56396,1.30016,0.96176,0.31821,0.2509,0.22515,0.12966,1.50452,1.2406,0.94474,0.000148512,0.000148512,0.000148512
